id,utime,name,lat,lon
7655,2025-10-17T03:00:00+03:00,"Str. Lacul Morii, Lacul Morii, Romania",44.4556327,26.0251529
7656,2025-10-17T03:00:00+03:00,"Str. Drumul Taberei, Drumul Taberei, Romania",44.4258997,26.0544366
7657,2025-10-17T03:00:00+03:00,"Calea Victoriei, Cercul Militar, Romania",44.435029,26.098609
8590,2025-10-17T03:00:00+03:00,"Str. Rotunda, Titan, Romania",44.4185543,26.1615982
101023,2025-01-22T14:15:03Z,Strada Fuiorului,44.51761559966,25.9842646122
105133,2025-10-17T00:51:28Z,Strada Fabricii,44.4390848708,26.04347974062
108718,2025-10-17T00:14:15Z,Intrarea Smaranda,44.3959,26.1025
109177,2025-10-17T00:14:04Z,Mogoșoaia,44.5325,25.9763
109186,2025-10-17T00:14:00Z,Strada Cremenița,44.4640249,26.1377147
109210,2025-10-17T00:03:28Z,Drumul Fermei,44.37096,26.15399
109243,2025-06-25T11:31:21Z,Strada Paul Greceanu,44.45191,26.10543
109288,2025-02-26T18:08:37Z,Strada Orșova,44.442518,26.0296005
109675,2025-03-17T08:29:40Z,Strada Siriului,44.484928,26.098362
109702,2025-10-17T00:14:47Z,Strada Barbu Urleanu,44.425952,26.06673
109819,2025-10-17T00:06:01Z,Strada Soldat Ion Ciocodeică,44.394116,26.10739885
109861,2025-10-17T00:14:39Z,Strada Căpitan Nicolae Mihai,44.3818,26.1655
110287,2025-10-17T00:14:26Z,Titan - Balta Albă,44.422444,26.153975
110290,2025-10-17T00:14:47Z,Strada Liviu Rebreanu,44.422833,26.151681
110578,2025-10-17T00:04:19Z,Tamași,44.5787,26.0058
111118,2025-10-17T00:14:36Z,Bulevardul Bucureștii Noi,44.47997013,26.0418307
111148,2025-10-17T00:13:54Z,Strada Viilor,44.453754,25.979103
111172,2025-10-17T00:14:41Z,Strada Sergent Lazăr Gafton,44.407899,26.090406
112240,2025-04-01T20:57:04Z,Tamași,44.5817,26.0092
114166,2025-10-17T00:14:25Z,Strada Tudor Arghezi,44.555333,26.14166
114598,2025-10-17T00:13:53Z,Strada Câmpul Pipera,44.5116145,26.1030358
121864,2025-03-11T12:52:45Z,Strada Fizicienilor,44.4103807,26.1477656
121888,2025-10-17T00:14:50Z,Drumul Vlașin,44.394335,26.04133
121957,2024-11-22T13:36:24Z,Strada Erou Șerban Bogdan Stan,44.435,26.0116
121981,2025-09-24T12:59:44Z,Calea Moșilor,44.4323,26.1063
122317,2025-10-17T00:50:28Z,Strada Drumul Bacriului,44.444,26.006
122887,2025-09-27T13:16:26Z,Strada Chile,44.454939,26.100284
122899,2025-10-10T16:58:13Z,Strada Reconstrucției,44.585422,26.135621
122974,2025-10-17T00:14:36Z,Strada Bălții,44.550936,26.127154
125356,2025-10-15T13:19:30Z,Bulevardul Timișoara,44.426938,26.041284
125581,2025-10-17T00:14:00Z,Bulevardul Iuliu Maniu,44.435362,25.976038
125692,2025-10-17T00:14:04Z,Strada Valea Călugărească,44.41674,26.032923
125704,2025-10-17T00:14:19Z,Calea Giulești,44.470166,26.002357
128605,2025-07-15T06:17:36Z,Strada Valea Mieilor,44.43358372347,26.20249557534
129610,2025-10-11T13:38:31Z,Strada Acțiunii,44.37057,26.10209
129658,2025-02-21T10:27:43Z,Intrarea Josef Pilsudski -mareșal polonez-,44.4464,26.1032
