time,value,field,id
2025-10-17T05:00:00Z,0,ch2o,110290
2025-10-17T06:00:00Z,0,ch2o,110290
2025-10-17T07:00:00Z,0,ch2o,110290
2025-10-17T08:00:00Z,0,ch2o,110290
2025-10-17T09:00:00Z,0,ch2o,110290
2025-10-17T10:00:00Z,0,ch2o,110290
2025-10-17T11:00:00Z,0,ch2o,110290
2025-10-17T12:00:00Z,0,ch2o,110290
2025-10-17T13:00:00Z,0,ch2o,110290
2025-10-17T14:00:00Z,0,ch2o,110290
2025-10-17T15:00:00Z,0,ch2o,110290
2025-10-17T16:00:00Z,0,ch2o,110290
2025-10-17T17:00:00Z,0,ch2o,110290
2025-10-17T18:00:00Z,0,ch2o,110290
2025-10-17T19:00:00Z,0,ch2o,110290
2025-10-17T20:00:00Z,0,ch2o,110290
2025-10-17T21:00:00Z,0,ch2o,110290
2025-10-17T22:00:00Z,0,ch2o,110290
2025-10-17T23:00:00Z,0,ch2o,110290
2025-10-18T00:00:00Z,0,ch2o,110290
2025-10-18T01:00:00Z,0,ch2o,110290
2025-10-18T02:00:00Z,0,ch2o,110290
2025-10-18T03:00:00Z,0,ch2o,110290
2025-10-18T04:00:00Z,0,ch2o,110290
2025-10-18T05:00:00Z,0,ch2o,110290
2025-10-18T06:00:00Z,0,ch2o,110290
2025-10-18T07:00:00Z,0,ch2o,110290
2025-10-18T08:00:00Z,0,ch2o,110290
2025-10-18T09:00:00Z,0,ch2o,110290
2025-10-18T10:00:00Z,0,ch2o,110290
2025-10-18T11:00:00Z,0,ch2o,110290
2025-10-18T12:00:00Z,0,ch2o,110290
2025-10-18T13:00:00Z,0,ch2o,110290
2025-10-18T14:00:00Z,0,ch2o,110290
2025-10-18T15:00:00Z,0,ch2o,110290
2025-10-18T16:00:00Z,0,ch2o,110290
2025-10-18T17:00:00Z,0,ch2o,110290
2025-10-18T18:00:00Z,0,ch2o,110290
2025-10-18T19:00:00Z,0,ch2o,110290
2025-10-18T20:00:00Z,0,ch2o,110290
2025-10-18T21:00:00Z,0,ch2o,110290
2025-10-18T22:00:00Z,0,ch2o,110290
2025-10-18T23:00:00Z,0,ch2o,110290
2025-10-19T00:00:00Z,0,ch2o,110290
2025-10-19T01:00:00Z,0,ch2o,110290
2025-10-19T02:00:00Z,0,ch2o,110290
2025-10-19T03:00:00Z,0,ch2o,110290
2025-10-19T04:00:00Z,0,ch2o,110290
2025-10-19T05:00:00Z,0,ch2o,110290
2025-10-19T06:00:00Z,0,ch2o,110290
2025-10-19T07:00:00Z,0,ch2o,110290
2025-10-19T08:00:00Z,0,ch2o,110290
2025-10-19T09:00:00Z,0,ch2o,110290
2025-10-19T10:00:00Z,0,ch2o,110290
2025-10-19T11:00:00Z,0,ch2o,110290
2025-10-19T12:00:00Z,0,ch2o,110290
2025-10-19T13:00:00Z,0,ch2o,110290
2025-10-19T14:00:00Z,0,ch2o,110290
2025-10-19T15:00:00Z,0,ch2o,110290
2025-10-19T16:00:00Z,0,ch2o,110290
2025-10-19T17:00:00Z,0,ch2o,110290
2025-10-17T05:00:00Z,0,ch2o,110578
2025-10-17T06:00:00Z,0,ch2o,110578
2025-10-17T07:00:00Z,0,ch2o,110578
2025-10-17T08:00:00Z,0,ch2o,110578
2025-10-17T09:00:00Z,0,ch2o,110578
2025-10-17T10:00:00Z,0,ch2o,110578
2025-10-17T11:00:00Z,0,ch2o,110578
2025-10-17T12:00:00Z,0,ch2o,110578
2025-10-17T13:00:00Z,0,ch2o,110578
2025-10-17T14:00:00Z,0,ch2o,110578
2025-10-17T15:00:00Z,0,ch2o,110578
2025-10-17T16:00:00Z,0,ch2o,110578
2025-10-17T17:00:00Z,0,ch2o,110578
2025-10-17T18:00:00Z,0,ch2o,110578
2025-10-17T19:00:00Z,0,ch2o,110578
2025-10-17T20:00:00Z,0,ch2o,110578
2025-10-17T21:00:00Z,0,ch2o,110578
2025-10-17T22:00:00Z,0,ch2o,110578
2025-10-17T23:00:00Z,0,ch2o,110578
2025-10-18T00:00:00Z,0,ch2o,110578
2025-10-18T01:00:00Z,0,ch2o,110578
2025-10-18T02:00:00Z,0,ch2o,110578
2025-10-18T03:00:00Z,0,ch2o,110578
2025-10-18T04:00:00Z,0,ch2o,110578
2025-10-18T05:00:00Z,0.4,ch2o,110578
2025-10-18T06:00:00Z,0,ch2o,110578
2025-10-18T07:00:00Z,0,ch2o,110578
2025-10-18T08:00:00Z,0,ch2o,110578
2025-10-18T09:00:00Z,0,ch2o,110578
2025-10-18T10:00:00Z,0,ch2o,110578
2025-10-18T11:00:00Z,0,ch2o,110578
2025-10-18T12:00:00Z,0,ch2o,110578
2025-10-18T13:00:00Z,0,ch2o,110578
2025-10-18T14:00:00Z,0,ch2o,110578
2025-10-18T15:00:00Z,0,ch2o,110578
2025-10-18T16:00:00Z,0,ch2o,110578
2025-10-18T17:00:00Z,0,ch2o,110578
2025-10-18T18:00:00Z,0,ch2o,110578
2025-10-18T19:00:00Z,0,ch2o,110578
2025-10-18T20:00:00Z,0,ch2o,110578
2025-10-18T21:00:00Z,0,ch2o,110578
2025-10-18T22:00:00Z,0,ch2o,110578
2025-10-18T23:00:00Z,0,ch2o,110578
2025-10-19T00:00:00Z,0,ch2o,110578
2025-10-19T01:00:00Z,0,ch2o,110578
2025-10-19T02:00:00Z,0,ch2o,110578
2025-10-19T03:00:00Z,0,ch2o,110578
2025-10-19T04:00:00Z,0,ch2o,110578
2025-10-19T05:00:00Z,0,ch2o,110578
2025-10-19T06:00:00Z,0,ch2o,110578
2025-10-19T07:00:00Z,0,ch2o,110578
2025-10-19T08:00:00Z,0,ch2o,110578
2025-10-19T09:00:00Z,0,ch2o,110578
2025-10-19T10:00:00Z,0,ch2o,110578
2025-10-19T11:00:00Z,0,ch2o,110578
2025-10-19T12:00:00Z,0,ch2o,110578
2025-10-19T13:00:00Z,0,ch2o,110578
2025-10-19T14:00:00Z,0,ch2o,110578
2025-10-19T15:00:00Z,0,ch2o,110578
2025-10-19T16:00:00Z,0,ch2o,110578
2025-10-19T17:00:00Z,0,ch2o,110578
2025-10-19T18:00:00Z,0,ch2o,110578
2025-10-19T19:00:00Z,0,ch2o,110578
2025-10-19T20:00:00Z,0,ch2o,110578
2025-10-19T21:00:00Z,0,ch2o,110578
2025-10-19T22:00:00Z,0,ch2o,110578
2025-10-19T23:00:00Z,0,ch2o,110578
2025-10-20T00:00:00Z,0,ch2o,110578
2025-10-20T01:00:00Z,0,ch2o,110578
2025-10-20T02:00:00Z,0,ch2o,110578
2025-10-17T05:00:00Z,0,ch2o,111118
2025-10-17T06:00:00Z,0,ch2o,111118
2025-10-17T07:00:00Z,0,ch2o,111118
2025-10-17T08:00:00Z,0,ch2o,111118
2025-10-17T09:00:00Z,0,ch2o,111118
2025-10-17T10:00:00Z,0,ch2o,111118
2025-10-17T11:00:00Z,0,ch2o,111118
2025-10-17T12:00:00Z,0,ch2o,111118
2025-10-17T13:00:00Z,0,ch2o,111118
2025-10-17T14:00:00Z,0,ch2o,111118
2025-10-17T15:00:00Z,0,ch2o,111118
2025-10-17T16:00:00Z,0,ch2o,111118
2025-10-17T17:00:00Z,0,ch2o,111118
2025-10-17T18:00:00Z,0,ch2o,111118
2025-10-17T19:00:00Z,0,ch2o,111118
2025-10-17T20:00:00Z,0,ch2o,111118
2025-10-17T21:00:00Z,0,ch2o,111118
2025-10-17T22:00:00Z,0,ch2o,111118
2025-10-17T23:00:00Z,0,ch2o,111118
2025-10-18T00:00:00Z,0,ch2o,111118
2025-10-18T01:00:00Z,0,ch2o,111118
2025-10-18T02:00:00Z,0,ch2o,111118
2025-10-18T03:00:00Z,0,ch2o,111118
2025-10-18T04:00:00Z,0,ch2o,111118
2025-10-18T05:00:00Z,0,ch2o,111118
2025-10-18T06:00:00Z,0,ch2o,111118
2025-10-18T07:00:00Z,0,ch2o,111118
2025-10-18T08:00:00Z,0,ch2o,111118
2025-10-18T09:00:00Z,0,ch2o,111118
2025-10-18T10:00:00Z,0,ch2o,111118
2025-10-18T11:00:00Z,0,ch2o,111118
2025-10-18T12:00:00Z,0,ch2o,111118
2025-10-18T13:00:00Z,0,ch2o,111118
2025-10-18T14:00:00Z,0,ch2o,111118
2025-10-18T15:00:00Z,0,ch2o,111118
2025-10-18T16:00:00Z,0,ch2o,111118
2025-10-18T17:00:00Z,0,ch2o,111118
