time,value,field,id
2025-09-07T04:00:00Z,0,ch2o,110290
2025-09-07T05:00:00Z,0,ch2o,110290
2025-09-07T06:00:00Z,0,ch2o,110290
2025-09-07T07:00:00Z,0,ch2o,110290
2025-09-07T08:00:00Z,0,ch2o,110290
2025-09-07T09:00:00Z,0,ch2o,110290
2025-09-07T10:00:00Z,0,ch2o,110290
2025-09-07T11:00:00Z,0,ch2o,110290
2025-09-07T12:00:00Z,0,ch2o,110290
2025-09-07T13:00:00Z,0,ch2o,110290
2025-09-07T14:00:00Z,0,ch2o,110290
2025-09-07T15:00:00Z,0,ch2o,110290
2025-09-07T16:00:00Z,0,ch2o,110290
2025-09-07T17:00:00Z,0,ch2o,110290
2025-09-07T18:00:00Z,0,ch2o,110290
2025-09-07T19:00:00Z,0,ch2o,110290
2025-09-07T20:00:00Z,0,ch2o,110290
2025-09-07T21:00:00Z,0,ch2o,110290
2025-09-07T22:00:00Z,0,ch2o,110290
2025-09-07T23:00:00Z,0,ch2o,110290
2025-09-08T00:00:00Z,0,ch2o,110290
2025-09-08T01:00:00Z,0,ch2o,110290
2025-09-08T02:00:00Z,0,ch2o,110290
2025-09-08T03:00:00Z,0,ch2o,110290
2025-09-08T04:00:00Z,0,ch2o,110290
2025-09-08T05:00:00Z,0,ch2o,110290
2025-09-08T06:00:00Z,0,ch2o,110290
2025-09-08T07:00:00Z,0,ch2o,110290
2025-09-08T08:00:00Z,0,ch2o,110290
2025-09-08T09:00:00Z,0,ch2o,110290
2025-09-08T10:00:00Z,0,ch2o,110290
2025-09-08T11:00:00Z,0,ch2o,110290
2025-09-08T12:00:00Z,0,ch2o,110290
2025-09-08T13:00:00Z,0,ch2o,110290
2025-09-08T14:00:00Z,0,ch2o,110290
2025-09-08T15:00:00Z,0,ch2o,110290
2025-09-08T16:00:00Z,0,ch2o,110290
2025-09-08T17:00:00Z,0,ch2o,110290
2025-09-08T18:00:00Z,0,ch2o,110290
2025-09-08T19:00:00Z,0,ch2o,110290
2025-09-08T20:00:00Z,0,ch2o,110290
2025-09-08T21:00:00Z,0,ch2o,110290
2025-09-08T22:00:00Z,0,ch2o,110290
2025-09-08T23:00:00Z,0,ch2o,110290
2025-09-09T00:00:00Z,0,ch2o,110290
2025-09-09T01:00:00Z,0,ch2o,110290
2025-09-09T02:00:00Z,0,ch2o,110290
2025-09-09T03:00:00Z,0,ch2o,110290
2025-09-09T04:00:00Z,0,ch2o,110290
2025-09-09T05:00:00Z,0,ch2o,110290
2025-09-09T06:00:00Z,0,ch2o,110290
2025-09-09T07:00:00Z,0,ch2o,110290
2025-09-09T08:00:00Z,0,ch2o,110290
2025-09-09T09:00:00Z,0,ch2o,110290
2025-09-09T10:00:00Z,0,ch2o,110290
2025-09-09T11:00:00Z,0,ch2o,110290
2025-09-09T12:00:00Z,0,ch2o,110290
2025-09-09T13:00:00Z,0,ch2o,110290
2025-09-09T14:00:00Z,0,ch2o,110290
2025-09-09T15:00:00Z,0,ch2o,110290
2025-09-09T16:00:00Z,0,ch2o,110290
2025-09-09T17:00:00Z,0,ch2o,110290
2025-09-09T18:00:00Z,0,ch2o,110290
2025-09-09T19:00:00Z,0,ch2o,110290
2025-09-09T20:00:00Z,0,ch2o,110290
2025-09-09T21:00:00Z,0,ch2o,110290
2025-09-09T22:00:00Z,0,ch2o,110290
2025-09-09T23:00:00Z,0,ch2o,110290
2025-09-10T00:00:00Z,0,ch2o,110290
2025-09-10T01:00:00Z,0,ch2o,110290
2025-09-10T02:00:00Z,0,ch2o,110290
2025-09-07T04:00:00Z,0,ch2o,110578
2025-09-07T05:00:00Z,0,ch2o,110578
2025-09-07T06:00:00Z,0,ch2o,110578
2025-09-07T07:00:00Z,0,ch2o,110578
2025-09-07T08:00:00Z,0,ch2o,110578
2025-09-07T09:00:00Z,0,ch2o,110578
2025-09-07T10:00:00Z,0,ch2o,110578
2025-09-07T11:00:00Z,0,ch2o,110578
2025-09-07T12:00:00Z,0,ch2o,110578
2025-09-07T13:00:00Z,0,ch2o,110578
2025-09-07T14:00:00Z,0,ch2o,110578
2025-09-07T15:00:00Z,0,ch2o,110578
2025-09-07T16:00:00Z,0,ch2o,110578
2025-09-07T17:00:00Z,0,ch2o,110578
2025-09-07T18:00:00Z,0,ch2o,110578
2025-09-07T19:00:00Z,0,ch2o,110578
2025-09-07T20:00:00Z,0,ch2o,110578
2025-09-07T21:00:00Z,0,ch2o,110578
2025-09-07T22:00:00Z,0,ch2o,110578
2025-09-07T23:00:00Z,0,ch2o,110578
2025-09-08T00:00:00Z,0,ch2o,110578
2025-09-08T01:00:00Z,0,ch2o,110578
2025-09-08T02:00:00Z,0,ch2o,110578
2025-09-08T03:00:00Z,0,ch2o,110578
2025-09-08T04:00:00Z,0,ch2o,110578
2025-09-08T05:00:00Z,0,ch2o,110578
2025-09-08T06:00:00Z,0,ch2o,110578
2025-09-08T07:00:00Z,0,ch2o,110578
2025-09-08T08:00:00Z,0,ch2o,110578
2025-09-08T09:00:00Z,0,ch2o,110578
2025-09-08T10:00:00Z,0,ch2o,110578
2025-09-08T11:00:00Z,0,ch2o,110578
2025-09-08T12:00:00Z,0,ch2o,110578
2025-09-08T13:00:00Z,0,ch2o,110578
2025-09-08T14:00:00Z,0,ch2o,110578
2025-09-08T15:00:00Z,0,ch2o,110578
2025-09-08T16:00:00Z,0,ch2o,110578
2025-09-08T17:00:00Z,0,ch2o,110578
2025-09-08T18:00:00Z,0,ch2o,110578
2025-09-08T19:00:00Z,0,ch2o,110578
